document_id,label,probability
9700002232,486,0.0004
9700002232,487,0.0019
9700002232,488,0.0005
9700002232,493,0.0003
9700002232,511,0.0015
9700002232,512,0.0005
9700002340,111,0.0012
9700002340,112,0.0005
9700002340,113,0.0014
9700002340,114,0.0007
9700002340,115,0.0006
9700002340,211,0.0001
9700002340,212,0.0016
9700002340,213,0.0007
9700002340,221,0.0013
9700002340,236,0.0008
9700002340,237,0.0006
9700002340,238,0.0008
9700002340,311,0.001
9700002340,312,0.0006
9700002340,313,0.0005
9700002340,314,0.0006
9700002340,321,0.0004
9700002340,322,0.1912
9700002340,323,0.0005
9700002340,324,0.0004
9700002232,515,0.0056
9700002232,517,0.021
9700002232,518,0.0001
9700002232,519,0.0005
9700002232,521,0.0005
9700002232,522,0.0017
9700002232,523,0.0004
9700002232,524,0.0
9700002232,525,0.0046
9700002232,531,0.0004
9700002232,532,0.0005
9700002232,541,0.0967
9700002232,551,0.0004
9700002232,561,0.5017
9700002232,562,0.0009
9700002232,611,0.0559
9700002232,621,0.01
9700002232,622,0.0003
9700002232,623,0.0004
9700002232,624,0.0077
9700002232,711,0.0004
9700002232,712,0.0
9700002232,713,0.0003
9700002232,721,0.0006
9700002340,325,0.001
9700002340,326,0.0008
9700002340,327,0.0002
9700002340,331,0.0002
9700002340,332,0.0004
9700002340,333,0.0003
9700002340,334,0.0058
9700002340,335,0.0013
9700002340,336,0.0
9700002340,337,0.0004
9700002340,339,0.0008
9700002340,423,0.0012
9700002340,424,0.0023
9700002340,425,0.0009
9700002340,441,0.0006
9700002340,443,0.0004
9700002340,444,0.0007
9700002340,445,0.0093
9700002340,446,0.001
9700002340,447,0.0003
9700002340,448,0.0031
9700002340,451,0.0005
9700002340,452,0.0078
9700002340,453,0.0014
9700002340,454,0.0007
9700002340,481,0.019
9700002340,482,0.0047
9700002340,483,0.0016
9700002340,484,0.0003
9700002340,485,0.0018
9700002340,486,0.0016
9700002340,487,0.001
9700002340,488,0.0029
9700002340,493,0.0005
9700002340,511,0.0011
9700002340,512,0.0041
9700002340,515,0.0034
9700002340,517,0.0007
9700002340,518,0.0004
9700002340,519,0.0006
9700002340,521,0.0006
9700002340,522,0.0009
9700002340,523,0.0008
9700002340,524,0.0002
9700002340,525,0.0002
9700002340,531,0.0004
9700002340,532,0.0007
9700002340,541,0.0002
9700002340,551,0.0004
9700002340,561,0.8187
9700002340,562,0.0001
9700002340,611,0.0005
9700002340,621,0.0004
9700002340,622,0.0004
9700002340,623,0.0003
9700002340,624,0.003
9700002340,711,0.0009
9700002340,712,0.0116
9700002340,713,0.0006
9700002340,721,0.0014
9700002340,722,0.0005
9700002340,811,0.0006
9700002340,812,0.0225
9700002340,813,0.0034
9700002340,814,0.0008
9700002340,921,0.102
9700002340,922,0.0045
9700002340,924,0.0007
9700002340,928,0.0039
9700002165,488,0.0006
9700002165,493,0.0008
9700002165,511,0.0007
9700002165,512,0.001
9700002165,515,0.005
9700002165,517,0.0006
9700002165,518,0.0007
9700002165,519,0.0009
9700002165,521,0.0003
9700002165,522,0.0001
9700002165,523,0.0004
9700002165,524,0.0002
9700002165,525,0.0004
9700002165,531,0.0004
9700002165,532,0.0006
9700002165,541,0.0
9700002165,551,0.0006
9700002165,561,0.0001
9700002165,562,0.0025
9700002165,611,0.0003
9700002165,621,0.0002
9700002165,622,0.0006
9700002165,623,0.0005
9700002165,624,0.0003
9700002165,711,0.0006
9700002165,712,0.0009
9700002165,713,0.0006
9700002165,721,0.0009
9700002165,722,0.0007
9700002165,811,0.0006
9700002165,812,0.0006
9700002165,813,0.0013
9700002165,814,0.0008
9700002165,921,0.0006
9700002165,922,0.0008
9700002165,924,0.0007
9700002165,928,0.0005
9700002232,722,0.0007
9700002232,811,0.0005
9700002232,812,0.0002
9700002232,813,0.0
9700002232,814,0.0008
9700002232,921,0.0003
9700002232,922,0.0022
9700002232,924,0.0007
9700002232,928,0.0006
9700002334,111,0.0009
9700002370,111,0.0055
9700002370,112,0.0003
9700002370,113,0.0009
9700002370,114,0.0004
9700002370,115,0.0005
9700002370,211,0.0003
9700002370,212,0.0007
9700002370,213,0.0005
9700002370,221,0.0003
9700002370,236,0.0005
9700002370,237,0.0013
9700002370,238,0.0009
9700002370,311,0.0007
9700002370,312,0.0012
9700002370,313,0.0007
9700002370,314,0.0006
9700002370,321,0.0004
9700002370,322,0.0005
9700002370,323,0.0005
9700002370,324,0.0001
9700002370,325,0.0001
9700002370,326,0.0012
9700002370,327,0.0004
9700002370,331,0.0003
9700002370,332,0.0006
9700002370,333,0.0007
9700002370,334,0.0008
9700002370,335,0.0009
9700002370,336,0.0003
9700002370,337,0.0005
9700002370,339,0.0004
9700002370,423,0.0003
9700002370,424,0.0004
9700002370,425,0.0004
9700002370,441,0.0022
9700002370,443,0.0
9700002370,444,0.0008
9700002370,445,0.0001
9700002370,446,0.0005
9700002370,447,0.0003
9700002370,448,0.0009
